customer_id,customer_query,response
1,"What are your store hours?","Our store is open from 9 AM to 9 PM, Monday to Saturday."
2,"How can I return an item?","You can return an item within 30 days of purchase with the receipt."
3,"Do you offer free shipping?","Yes, we offer free shipping on orders over $50."
4,"What payment methods do you accept?","We accept Visa, MasterCard, American Express, and PayPal."
5,"Can I change my order after it's been placed?","Unfortunately, once an order is placed, it cannot be changed. Please contact customer service for assistance."
6,"How do I track my order?","You can track your order using the tracking link sent to your email after shipment."
7,"What should I do if I receive a damaged item?","Please contact our customer service team within 48 hours of receiving the item."
8,"Do you have a loyalty program?","Yes, we have a loyalty program that rewards you with points for every purchase."
9,"Can I pick up my order in-store?","Yes, you can choose in-store pickup at checkout."
10,"What is your privacy policy?","Our privacy policy outlines how we collect, use, and protect your personal information."